Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,place
Click Hotel Caliph,3.3,Good,834,3.0,Powai ,T2 - Chhatrapati Shivaji International Airport,5.4 km ,"4,500",,Mumbai
HOTEL LEAFIO MARIGOLD,3.7,Very Good,1387,3.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.2 km ,"3,162",748,Mumbai
"Keys Select by Lemon Tree Hotels, Nestor, Mumbai",3.5,Very Good,1528,3.0,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.0 km ,"3,623","1,288",Mumbai
Hotel Sea Princess,4.1,Very Good,1762,5.0,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.6 km ,"7,952","2,138",Mumbai
HOTEL WEGO,4.1,Very Good,1335,3.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.2 km ,"3,495","1,128",Mumbai
Rodas - An Ecotel Hotel,4.4,Excellent,795,3.0,Powai ,T2 - Chhatrapati Shivaji International Airport,7.0 km ,"7,998","2,150",Mumbai
The Westin Mumbai Powai Lake,4.3,Excellent,1282,5.0,Powai ,T2 - Chhatrapati Shivaji International Airport,6.7 km ,"9,000",,Mumbai
Mayura Aureole Co-Living,4.2,Very Good,143,,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.4 km ,"1,496",418,Mumbai
Sea Green Hotel,3.8,Very Good,1203,3.0,Churchgate ,Queen's Necklace - Marine Drive,450 m ,"4,692","1,265",Mumbai
ibis Mumbai Vikhroli - An Accor Brand,3.9,Very Good,327,4.0,Vikhroli West ,T2 - Chhatrapati Shivaji International Airport,9.5 km ,"6,299",,Mumbai
Aboo's Concord Galaxy,3.3,Good,798,3.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.9 km ,"3,228",831,Mumbai
The Paradise by Tunga,4.0,Very Good,1202,3.0,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.4 km ,"5,864","1,424",Mumbai
Address Dormitory,4.0,Very Good,240,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.2 km ,404,113,Mumbai
Arnna Hotel - Goregaon,3.8,Very Good,135,3.0,Goregaon ,T1 - Chhatrapati Shivaji International Airport,7.9 km ,"2,919",830,Mumbai
Ramee Guestline Hotel - Dadar,4.1,Very Good,774,4.0,South Mumbai,,,"6,814","1,612",Mumbai
Hotel Metro Palace,3.6,Very Good,1167,3.0,Bandra West ,Band Stand,2.5 km ,"4,064",495,Mumbai
Hotel Manama,3.5,Very Good,1566,3.0,South Mumbai ,Gateway Of India Mumbai,2.3 km ,"3,158",747,Mumbai
Aashiyana Dormitory,3.1,Good,277,,South Mumbai ,Gateway Of India Mumbai,2.4 km ,630,176,Mumbai
T24 Residency,4.0,Very Good,2465,4.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.0 km ,"4,099",,Mumbai
"The Taj Mahal Palace, Mumbai",4.7,Excellent,802,5.0,Colaba ,Gateway Of India Mumbai,280 m ,"27,000",,Mumbai
The Roa Hotel,3.7,Very Good,1300,3.0,Ghatkopar West ,T2 - Chhatrapati Shivaji International Airport,5.5 km ,"2,976",608,Mumbai
Hotel Leafio,3.5,Very Good,1919,3.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.1 km ,"2,199",264,Mumbai
The Byke Delotel,3.8,Very Good,419,3.0,Borivali West,,,"3,183",903,Mumbai
The Empresa Hotel,3.8,Very Good,701,4.0,Andheri West ,T1 - Chhatrapati Shivaji International Airport,7.6 km ,"8,099","1,458",Mumbai
HOTEL KOHINOOR PARK,3.8,Very Good,592,3.0,South Mumbai ,Siddhivinayak Temple,480 m ,"3,596","1,118",Mumbai
The Altruist Business Hotel (Andheri),3.6,Very Good,1257,3.0,Jogeshwari East ,T1 - Chhatrapati Shivaji International Airport,4.5 km ,"2,763",711,Mumbai
Hotel Parle International,3.7,Very Good,3158,3.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.9 km ,"4,836","1,052",Mumbai
Ocean Dormitory,3.6,Very Good,67,,Asalpha ,T2 - Chhatrapati Shivaji International Airport,3.7 km ,925,249,Mumbai
Hotel Beacon T2,3.2,Good,955,4.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.9 km ,"3,600",851,Mumbai
Hotel Columbus,3.6,Very Good,1401,3.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.5 km ,"2,608",567,Mumbai
Sea Green South Hotel,3.9,Very Good,985,3.0,Churchgate ,Queen's Necklace - Marine Drive,440 m ,"5,583","1,389",Mumbai
Hotel Suba International,4.3,Excellent,683,4.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.0 km ,"6,700",,Mumbai
Classic Dormitory,3.8,Very Good,123,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.5 km ,572,145,Mumbai
The Resort Mumbai,4.2,Very Good,3937,5.0,Madh,,,"11,811","3,556",Mumbai
The Mirador,3.7,Very Good,384,4.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,3.2 km ,"6,750",810,Mumbai
The Sahil Hotel,4.2,Very Good,1587,4.0,South Mumbai ,Mumbai Central Bus Terminus,610 m ,"4,650","1,100",Mumbai
Avion Hotel,3.3,Good,1154,3.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.6 km ,"4,205","1,033",Mumbai
Blossom Dormitory ( For Male and Female),3.6,Very Good,214,,Sakinaka ,T2 - Chhatrapati Shivaji International Airport,3.4 km ,678,189,Mumbai
Comfort Inn Heritage,3.9,Very Good,963,4.0,South Mumbai,,,"4,743","1,122",Mumbai
Hotel Planet Residency,3.8,Very Good,1064,3.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,2.2 km ,"3,726","1,028",Mumbai
Hotel Kohinoor Elite,4.1,Very Good,2183,4.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,6.1 km ,"7,250",,Mumbai
Residency Hotel Andheri,4.0,Very Good,1866,4.0,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.2 km ,"4,883","1,155",Mumbai
