Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,place
"The Raintree, Annasalai",4.4,Excellent,2376,5.0,Mount road,,,"7,299",,Chennai
Hablis,4.2,Very Good,4529,4.0,Mount road ,Chennai Airport,5.9 km ,"5,271","1,124",Chennai
Novotel Chennai Chamiers Road,4.3,Excellent,1002,5.0,Nandanam,,,"7,391",,Chennai
The Residency,4.2,Very Good,1714,4.0,T Nagar,,,"5,336","1,455",Chennai
The Residency Towers,4.3,Excellent,1151,5.0,T Nagar,,,"6,696","1,826",Chennai
Novotel Chennai OMR - An Accor Brand,4.3,Excellent,1001,5.0,Sholinganallur,,,"6,134",,Chennai
Hotel Southern Comfort ( Chennai Airport ),3.6,Very Good,2962,3.0,Chennai Airport ,Chennai Airport,1.3 km ,"2,870",757,Chennai
Lemon Tree Hotel Chennai,3.6,Very Good,3059,4.0,Saidapet ,Chennai Airport,7.8 km ,"2,487",903,Chennai
The Pride Hotel Chennai,3.6,Very Good,1911,4.0,Kilpauk,,,"3,399",408,Chennai
"Ginger Chennai, Vadapalani",3.5,Very Good,2282,3.0,Vadapalani,,,"2,699",,Chennai
UPAR Nungambakkam,4.1,Very Good,281,,Nungambakkam,,,"2,716",633,Chennai
Ginger Chennai,3.5,Very Good,2071,3.0,Tharamani,,,"3,299",,Chennai
Holiday Inn Express Chennai OMR Thoraipakkam,3.5,Very Good,2087,4.0,Thoraipakkam,,,"3,680",480,Chennai
Raj Park Chennai,3.6,Very Good,1158,4.0,Teynampet,,,"3,953",935,Chennai
"UPAR Uthandi, ECR
Like a 3",3.6,Very Good,94,,East Coast Road (ECR),,,"1,317",397,Chennai
Hotel Abu Palace,3.4,Good,1592,4.0,Purasawalkam ,Chennai Egmore Railway Station,920 m ,"2,947",789,Chennai
Ramada Chennai Egmore,3.9,Very Good,4600,4.0,Egmore,,,"4,557","1,078",Chennai
Hyatt Regency Chennai,4.1,Very Good,1152,5.0,Teynampet,,,"7,499",,Chennai
"Lemon Tree Hotel, Shimona, Chennai",4.0,Very Good,1288,4.0,Manapakkam ,Chennai Airport,9.0 km ,"2,819","1,115",Chennai
Trident Chennai,4.5,Excellent,1140,5.0,Chennai Airport ,Chennai Airport,3.0 km ,"12,750",,Chennai
Holiday Inn Chennai OMR IT Expressway,4.2,Very Good,1676,5.0,Thiruvanmiyur,,,"7,499",,Chennai
Ibis Chennai SIPCOT - An Accor Brand,4.0,Very Good,1479,3.0,Egatoor ,city centre,31.2 km ,"3,299",,Chennai
The Accord Metropolitan,4.1,Very Good,2220,5.0,T Nagar,,,"6,500","1,957",Chennai
Park Hyatt Chennai,4.5,Excellent,525,5.0,Guindy ,Chennai Airport,7.8 km ,"9,000",,Chennai
OYO Home Fantasea Uthandi Near Juhu Beach,1.9,Poor,7,,Uthandi,,,769,40,Chennai
Gokulam Park Sabari - Siruseri SIPCOT,4.2,Very Good,1271,4.0,Navallur,,,"5,719","1,244",Chennai
BOULEVARD BY DESIGN HOTEL,4.1,Very Good,821,4.0,Velachery ,Chennai Airport,8.7 km ,"4,860","1,026",Chennai
Fairfield by Marriott Chennai OMR,4.2,Very Good,983,4.0,Sholinganallur,,,"4,850",,Chennai
ITC Grand Chola - A Luxury Collection Hotel,4.4,Excellent,2603,5.0,Guindy ,Chennai Airport,7.8 km ,"12,500",,Chennai
The Ambassador Pallava,4.0,Very Good,1926,4.0,Egmore,,,"8,079","2,432",Chennai
Le Royal Meridien,3.9,Very Good,1968,5.0,Mount road ,Chennai Airport,5.6 km ,"9,000",,Chennai
"Taj Wellington Mews, Chennai",4.7,Excellent,327,5.0,Tharamani,,,"10,560",,Chennai
Novotel Chennai Sipcot - An Accor Brand,4.3,Excellent,855,5.0,Egatoor ,city centre,31.6 km ,"8,138",,Chennai
The Mount Manor,3.4,Good,874,3.0,Chennai Airport ,Chennai Airport,3.8 km ,"2,350",634,Chennai
Green Park Chennai,4.2,Very Good,1503,5.0,Vadapalani,,,"6,696","1,368",Chennai
Mango Hill central Chennai,3.2,Good,196,3.0,T Nagar,,,"3,314",677,Chennai
Venture Park,3.5,Very Good,1192,3.0,Thoraipakkam,,,"1,315",339,Chennai
Grand Chennai by GRT Hotels,4.5,Excellent,1535,5.0,T Nagar,,,"8,550","1,710",Chennai
"Season 4 Residences, Nungambakkam",3.7,Very Good,101,,Near US Consulate,,,"2,591",620,Chennai
Ginger Chennai OMR,4.5,Excellent,161,3.0,Navallur,,,"2,479",,Chennai
Hotel Pandian,3.5,Very Good,2322,2.0,Egmore,,,"1,595",342,Chennai
Hilton Chennai,4.3,Excellent,811,5.0,Guindy ,Chennai Airport,8.2 km ,"11,000",,Chennai
FORTEL,3.5,Very Good,502,,Egmore,,,"3,118",703,Chennai
Royal Park,3.1,Good,10,,Near Marina Beach,,,"1,351",407,Chennai
Fairfield by Marriott Chennai Mahindra World City,4.2,Very Good,442,4.0,Mahindra World City ,city centre,45.7 km ,"5,533","1,130",Chennai
Crossway Parklane Airport Hotel,3.2,Good,517,3.0,Meenambakkam ,Chennai Airport,2.9 km ,"2,544",574,Chennai
Hotel Ashok Residency,3.7,Very Good,559,3.0,Porur,,,"4,290",933,Chennai
Hotel Greens Gate (Near Central station),3.6,Very Good,1869,,Poongavanapuram,,,"1,887",498,Chennai
HOTEL RANJITH,4.0,Very Good,159,3.0,Near US Consulate,,,"5,208","1,064",Chennai
"Welcomhotel by ITC Hotels, GST Road, Chennai",4.2,Very Good,510,5.0,Singaperumal Koil ,city centre,43.6 km ,"7,200",,Chennai
Regenta Central RS Chennai SIPCOT OMR,4.4,Excellent,740,4.0,Egatoor ,city centre,31.6 km ,"3,824",459,Chennai
CRESCENT PARK (near US Consulate Chennai),4.1,Very Good,284,3.0,Nungambakkam,,,"2,307",471,Chennai
Harrisons,4.0,Very Good,604,3.0,Nungambakkam,,,"3,906",798,Chennai
MGM Beach Resorts (15Kms before Mahabalipuram),3.9,Very Good,2900,4.0,Muttukadu ,city centre,31.8 km ,"25,110","7,812",Chennai
PARK PLAZA CHENNAI OMR,4.0,Very Good,198,5.0,Thoraipakkam,,,"4,200",,Chennai
Feathers A Radha Hotel Chennai,4.3,Excellent,447,5.0,Manapakkam ,Chennai Airport,9.7 km ,"8,999",,Chennai
V7 HOTEL,3.2,Good,1120,3.0,Porur,,,"3,667",896,Chennai
"Keys Select by Lemon Tree Hotels, Katti-Ma, Chennai",3.7,Very Good,400,3.0,Adyar,,,"2,240",796,Chennai
Hostel Gandhi,4.2,Very Good,109,,Saidapet ,Chennai Airport,8.0 km ,"1,307",107,Chennai
Grand Cascade,3.6,Very Good,1402,3.0,Poongavanapuram ,Chennai Central Railway Station,730 m ,"2,052",502,Chennai
Days Hotel Chennai OMR,4.3,Excellent,392,4.0,Kelambakkam ,city centre,35.3 km ,"2,767",565,Chennai
PP Residency,4.0,Very Good,421,,Chennai ,city centre,35.0 km ,"2,768",713,Chennai
Highnest | Rooms & Caretaker,3.5,Very Good,52,,Kattankolatur R.F. ,city centre,40.6 km ,"2,815",633,Chennai
Grand Elegant,3.9,Very Good,1064,,Poongavanapuram,,,"2,046",418,Chennai
Accord Chrome,4.5,Excellent,217,,Chromepet ,Chennai Airport,5.4 km ,"6,975","1,425",Chennai
AVENUE HOTEL -CHENNAI AIRPORT,3.6,Very Good,1338,,Pallavaram ,Chennai Airport,3.1 km ,"2,671",546,Chennai
La Woods hotel (1Km from us consulate chennai),4.0,Very Good,323,,Mount road,,,"3,360",403,Chennai
E Hotel,4.1,Very Good,590,4.0,Royapettah,,,"6,749",810,Chennai
Hotel Bakya Slot - Maraimalai Nagar,3.6,Very Good,210,3.0,Maraimalai Nagar ,city centre,37.4 km ,"2,046",484,Chennai
Pharos Hotels,4.3,Excellent,73,3.0,Nungambakkam,,,"4,650","1,100",Chennai
Al Noor Palace,4.0,Very Good,290,,Triplicane ,Marina Beach,1.8 km ,"2,093",428,Chennai
JS Five two By twinstar hotel,4.0,Very Good,68,,Raja Annamalai Puram,,,"3,794",976,Chennai
HOTEL HALEZ,4.3,Excellent,490,,Sholinganallur,,,"3,800",456,Chennai
Essentia Premier Hotel,4.1,Very Good,63,4.0,Thoraipakkam,,,"3,989",479,Chennai
ILARA Hotel & Spa,4.0,Very Good,785,3.0,Navallur,,,"2,650",576,Chennai
The Centrepoint OMR,3.8,Very Good,886,3.0,Sholinganallur,,,"3,322",723,Chennai
"KLASE HOTELS, GUINDY",3.3,Good,260,3.0,Mount road ,Chennai Airport,8.4 km ,"2,914",768,Chennai
Just Guest House,4.0,Very Good,745,,Pazhavanthangal ,Chennai Airport,4.0 km ,"3,149",811,Chennai
GRAND OLIVER,3.6,Very Good,490,,Poongavanapuram,,,"1,243",302,Chennai
"Pebbles Serviced Apartments
Like a 3",4.2,Very Good,179,,T Nagar,,,"2,349",547,Chennai
Mercure Chennai Sriperumbudur - An Accor Brand,4.2,Very Good,70,5.0,Oragadam ,city centre,43.0 km ,"5,900",,Chennai
ZAITH RESIDENCY,3.4,Good,243,,Thousand Lights,,,"2,355",635,Chennai
Mount Kailash Suites,4.0,Very Good,422,3.0,Mount road ,Chennai Airport,9.2 km ,"2,516",615,Chennai
The Mount City near US Consulate,3.6,Very Good,395,,Triplicane ,Marina Beach,2.9 km ,"1,748",460,Chennai
