Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,place
CITADEL Hotel By Vinnca,4.1,Very Good,949,3.0,Gaghan Pahad,,,"2,932",802,Hyderabad
Aditya Hometel Hyderabad - A Sarovar Hotel,3.5,Very Good,2234,3.0,Ameerpet,,,"1,860",380,Hyderabad
Hotel Deccan Serai Grande,4.4,Excellent,517,4.0,Gachibowli,,,"7,014","2,297",Hyderabad
Katriya Hotel and Towers,2.8,Average,3250,3.0,Somajiguda,,,"3,761",451,Hyderabad
Hotel Saptagiri Hyderabad,3.8,Very Good,2861,3.0,Shivaji Nagar ,Secunderabad Junction Railway Station ,760 m ,"2,724",614,Hyderabad
Hampshire Plaza Hotel,3.8,Very Good,1680,3.0,Lakdikapul,,,"3,379",891,Hyderabad
"Taj Deccan, Hyderabad",4.4,Excellent,2694,5.0,Banjara Hills,,,"6,990",,Hyderabad
Avasa Hotel,4.2,Very Good,2073,5.0,Madhapur,,,"6,696","1,368",Hyderabad
Hotel Akoya - HITECH City Hyderabad,4.1,Very Good,520,3.0,Hitech City,,,"2,471",681,Hyderabad
MARIGOLD AT NEST,3.8,Very Good,93,2.0,Gachibowli,,,"1,346",307,Hyderabad
HOTEL RAINTR33,3.8,Very Good,1012,3.0,Hitech City,,,"2,011",550,Hyderabad
Urban Nest Luxury Rooms,3.9,Very Good,206,,Kokapet,,,"1,046",357,Hyderabad
Novotel Hyderabad Convention Centre,4.2,Very Good,2033,5.0,Hitech City,,,"10,500",,Hyderabad
Hotel B Plus L,4.0,Very Good,866,4.0,Hitech City,,,"3,360",795,Hyderabad
La Hometel Hotel - HITECH City Hyderabad,3.9,Very Good,236,3.0,Hitech City,,,"1,435",387,Hyderabad
Le Meridien Hyderabad,4.3,Excellent,1059,5.0,Gachibowli,,,"10,500",,Hyderabad
"Restel Studio Flats
Like a 3",4.2,Very Good,262,,Borabanda,,,"1,801",504,Hyderabad
The Conclave,3.2,Good,958,3.0,Gachibowli,,,"1,613",497,Hyderabad
The Landmark Banjara Hills,4.0,Very Good,613,3.0,Banjara Hills,,,"1,696",437,Hyderabad
THE CENT,3.3,Good,1544,3.0,Lakdikapul,,,"1,662",389,Hyderabad
Courtyard by Marriott Hyderabad,4.5,Excellent,981,4.0,Kavadiguda,,,"6,000",,Hyderabad
"The Wilderness Retreat | Rooms & Restaurant
Like a 4",3.9,Very Good,220,,Gandipet,,,"7,346","2,197",Hyderabad
The Altruist Business Hotel (Hitech),3.7,Very Good,1888,4.0,Shilpa Hills,,,"4,278","1,028",Hyderabad
Istay Hotels Hitec,3.7,Very Good,1236,3.0,Kondapur,,,"2,913",613,Hyderabad
Hyatt Hyderabad Gachibowli,4.1,Very Good,864,5.0,Gachibowli,,,"8,750",,Hyderabad
The Art Boutique Hotel,3.8,Very Good,1515,3.0,Gachibowli,,,"2,197",677,Hyderabad
Hotel Imperial Classic,3.9,Very Good,2183,3.0,Himayat Nagar,,,"1,068",315,Hyderabad
Mercure Hyderabad KCP - An AccorHotels brand,4.2,Very Good,773,4.0,Punjagutta,,,"5,000",,Hyderabad
Veeraj Suites,4.0,Very Good,435,3.0,Rai Durg,,,"2,170",599,Hyderabad
Bloom Hotel - Gachibowli,4.1,Very Good,181,3.0,Gachibowli,,,"4,500",,Hyderabad
Oakwood Residence Kapil Hyderabad,4.5,Excellent,957,,Gachibowli,,,"7,500",,Hyderabad
Aalankrita Resort & Convention,4.1,Very Good,3109,4.0,Secunderabad ,city centre,26.5 km ,"4,484",916,Hyderabad
Minerva Grand- Kondapur,3.9,Very Good,1019,3.0,Kothaguda,,,"4,371",893,Hyderabad
M SQUARE HOTEL,3.9,Very Good,263,3.0,Hitech City,,,"4,395",898,Hyderabad
Sri Sri Suites,3.4,Good,152,,Madhapur,,,"1,208",330,Hyderabad
The Manohar,2.7,Average,258,3.0,Begumpet,,,"3,158",645,Hyderabad
The Lime Boutique Suites,4.1,Very Good,1434,3.0,Gachibowli,,,"2,976",608,Hyderabad
Taj Tristar,3.9,Very Good,992,3.0,Secunderabad ,city centre,7.7 km ,"2,271",494,Hyderabad
Minerva Grand - Banjara,4.0,Very Good,1453,3.0,Banjara Hills,,,"4,464",912,Hyderabad
Sheraton Hyderabad,4.3,Excellent,769,5.0,Gachibowli,,,"1,25,000",,Hyderabad
ITC Kakatiya - A Luxury Collection Hotel,4.2,Very Good,1071,5.0,Begumpet,,,"9,690",,Hyderabad
Bikanervala Boutique Hotel,4.1,Very Good,1037,3.0,Banjara Hills,,,"3,488",713,Hyderabad
